customer_id,signup_date,marketing_spend,visits,purchase_amount,segment,notes
36325376_c0040,2026-01-08,220.92,6,187.32,Consumer,
36325376_c0041,,163.08,5,15.49,SMB,
36325376_c0042,2025-08-24,115.17,6,179.85,Enterprise,
36325376_c0043,2025-09-10,84.44,3,81.24,Consumer,no response
36325376_c0044,2025-01-18,266.02,6,296.62,Consumer,
36325376_c0045,"Sep 13, 2024",123.7,7,103.68,Consumer,
36325376_c0046,2025-08-12,128.22,3,32.19,SMB,N/A
36325376_c0047,2025-01-14,105.15,3,98.32,Consumer,
36325376_c0048,"Dec 22, 2024",3.46,1,45.97,Consumer,contacted
36325376_c0049,2025-08-09,227.74,8,312.73,Consumer,N/A
36325376_c0050,2025-09-27,151.11,2,54.38,SMB,contacted
36325376_c0051,N/A,113.22,6,,Consumer,
36325376_c0052,2025-12-14,140.32,5,85.39,Consumer,
36325376_c0053,2024-10-15,269.15,7,212.38,Consumer,returned
36325376_c0054,2025-01-11,288.89,4,190.12,Consumer,no response
36325376_c0055,2025-03-06,18.68,3,86.2,Consumer,
36325376_c0056,2025-02-06,75.57,4,,Consumer,
36325376_c0057,"Dec 24, 2024",49,4,34.39,SMB,
36325376_c0058,2024-11-01,252.85,3,197.49,SMB,contacted
36325376_c0059,19/01/2026,77.16,6,124.61,Consumer,returned
36325376_c0060,10/08/2025,149.53,4,113.52,Consumer,contacted
36325376_c0061,2025-01-12,99.62,3,,SMB,
36325376_c0062,2025-02-24,245.92,8,156.36,SMB,
36325376_c0063,29/10/2025,294.83,7,217.68,Consumer,
36325376_c0064,2025-01-11,126.48,6,,SMB,
36325376_c0065,"Mar 26, 2025",177.99,7,218.17,Consumer,
36325376_c0066,N/A,107.53,1,170.18,Consumer,
36325376_c0067,2024-09-16,143.77,5,182.46,SMB,
36325376_c0068,2025-09-08,212.34,5,135.29,Consumer,
36325376_c0069,2025-12-06,165.08,6,150.71,SMB,N/A
36325376_c0070,2025-08-08,170.57,4,154.33,Consumer,
36325376_c0071,"Jun 05, 2025",277.94,9,210.16,Consumer,returned
36325376_c0072,2025-02-13,9.42,2,11.86,Consumer,
36325376_c0073,2025-01-09,90.94,2,69.03,Consumer,N/A
36325376_c0074,"Oct 23, 2024",271.63,6,170.84,Consumer,N/A
36325376_c0075,2024-12-09,11.5,3,87.29,SMB,
36325376_c0076,,49.24,4,87.91,SMB,
36325376_c0077,2025-02-28,72.01,8,32.11,SMB,contacted
36325376_c0078,12/09/2024,182.47,7,138.66,SMB,
36325376_c0079,2025-02-20,285.46,8,107.43,Consumer,returned
36325376_c0080,2025-10-07,108.14,4,138.23,SMB,contacted
36325376_c0081,2025-03-19,279.39,9,,Consumer,
36325376_c0082,2025-03-13,76.24,7,26.9,Consumer,no response
36325376_c0083,31/01/2026,285.3,7,215.2,Consumer,N/A
36325376_c0084,2026-01-14,104.32,3,52.95,Consumer,N/A
36325376_c0085,2025-11-14,141.84,8,102.1,Consumer,
36325376_c0086,2024-12-23,272.41,10,221.76,Consumer,no response
36325376_c0087,2025-04-13,291.97,10,166.23,Consumer,
36325376_c0088,2024-12-13,227.04,7,125.23,Enterprise,returned
36325376_c0089,2025-07-29,80.2,6,31.78,Enterprise,
36325376_c0090,2025-08-30,28.87,8,78.22,SMB,
36325376_c0091,2025-10-26,284.8,10,162.92,Consumer,
36325376_c0092,,32.28,4,37.12,Consumer,contacted
36325376_c0093,2024-09-13,81.27,2,18.15,Consumer,
36325376_c0094,2025-09-23,110.18,6,151.49,Consumer,
36325376_c0095,29/10/2024,222.81,6,126.12,SMB,
36325376_c0096,2025-10-02,6.1,1,0,Consumer,
36325376_c0097,N/A,286.52,7,162.23,SMB,contacted
36325376_c0098,2025-02-20,24.17,3,61.19,Consumer,
36325376_c0099,2025-09-11,285.96,3,217.11,Consumer,
36325376_c0100,,224.54,6,103.49,Consumer,no response
36325376_c0101,08/01/2026,297.76,5,209.65,Consumer,contacted
36325376_c0102,2025-10-04,12.22,5,41.42,SMB,no response
36325376_c0103,"Jul 08, 2025",152.07,4,,SMB,contacted
36325376_c0104,2025-11-05,116.73,3,109.1,SMB,
36325376_c0105,,16.4,3,,Consumer,N/A
36325376_c0106,2025-04-04,182.02,7,188.2,SMB,contacted
36325376_c0107,2025-03-24,206.73,8,171.18,Consumer,N/A
36325376_c0108,2025-08-19,201.4,6,,SMB,
36325376_c0109,2025-06-01,3.86,3,40.14,Consumer,
36325376_c0110,N/A,278.88,8,259.18,Consumer,contacted
36325376_c0111,2024-09-28,55.95,2,,SMB,
36325376_c0112,2025-10-06,267.12,3,232.82,Consumer,returned
36325376_c0113,2025-12-03,285.01,6,168.29,Consumer,
36325376_c0114,2024-10-19,191.9,6,143.12,SMB,no response
36325376_c0115,28/09/2025,138.44,4,90.74,SMB,contacted
36325376_c0116,2025-02-11,131.03,7,122.16,Consumer,no response
36325376_c0117,2025-04-12,33.38,7,102.67,SMB,
36325376_c0118,2024-10-24,126.93,4,178.59,Consumer,contacted
36325376_c0119,11/01/2025,54.53,4,0,SMB,contacted
36325376_c0120,2024-12-13,139.7,2,203.8,Consumer,
36325376_c0121,"Dec 29, 2025",170.54,8,,SMB,
36325376_c0122,2025-10-22,7.56,1,72.76,Consumer,
36325376_c0123,14/06/2025,208.22,5,197.83,SMB,
36325376_c0124,2025-09-17,57.36,8,64.03,Consumer,
36325376_c0125,2024-10-13,160.88,5,99.96,Consumer,
36325376_c0126,2025-04-11,40.93,4,90.95,SMB,
36325376_c0127,"Jan 08, 2025",225.68,5,190.41,Enterprise,
36325376_c0128,2024-09-12,64.35,4,43.17,Consumer,
36325376_c0129,2025-01-08,176.92,6,252.57,Consumer,returned
36325376_c0130,"May 11, 2025",268.49,14,206.89,Consumer,
36325376_c0131,2025-05-22,115.94,4,214.53,SMB,
36325376_c0132,2025-07-15,237.12,5,265.51,SMB,
36325376_c0133,2025-02-01,276.97,7,252.14,Consumer,N/A
36325376_c0134,2025-03-19,201.17,13,195.33,SMB,N/A
36325376_c0135,2024-12-16,284.94,10,277.18,Consumer,returned
36325376_c0136,"Mar 24, 2025",80.73,4,15.1,Consumer,returned
36325376_c0137,2026-01-03,15.65,3,61.31,SMB,
36325376_c0138,2025-06-11,297.09,13,97.74,Enterprise,
36325376_c0139,"Aug 13, 2025",194.47,3,,SMB,
36325376_c0140,2025-08-04,192.17,7,179.86,Consumer,
36325376_c0141,2025-10-29,28.74,6,59.18,Consumer,contacted
36325376_c0142,2026-02-04,148.65,8,149.29,Consumer,
36325376_c0143,2025-11-28,125.37,9,,SMB,
36325376_c0144,2025-01-20,63.03,3,52.7,Consumer,
36325376_c0145,"Dec 11, 2024",154.8,6,106.19,Consumer,
36325376_c0146,2025-05-03,225.95,8,,SMB,N/A
36325376_c0147,2025-07-17,159.97,4,92.69,Consumer,returned
36325376_c0148,2025-02-27,2.87,3,,SMB,
36325376_c0149,2026-01-14,272.03,8,,SMB,contacted
36325376_c0150,"Nov 08, 2025",99.54,2,19.5,Consumer,
